maaned,valuta,faktisk,prognose,gennemsnit,model
1997-06,AUD,0.016307961654440373,-0.0009028089933952835,-0.000411401838826105,olie
1997-07,AUD,0.002149502365628053,-4.853684703920563e-05,-0.0002732252810305143,olie
1997-08,AUD,0.023633805329871138,-0.00021768176621070738,-0.0002533668576972473,olie
1997-09,AUD,0.004761226711945676,-9.632080661505632e-05,-5.916220576579704e-05,olie
1997-10,AUD,0.034448361485835244,0.00033823659419753466,-2.0288101590704514e-05,olie
1997-11,AUD,0.04924698016990814,-3.302792419388194e-05,0.0002554610951087031,olie
1997-12,AUD,0.008042762056859998,1.315821449751934e-05,0.0006442826750674288,olie
1998-01,AUD,-0.026749881618584603,0.00012817296077507437,0.0007025384182311497,olie
1998-02,AUD,0.0071232073250241945,-0.00015429798539759714,0.0004880663866935267,olie
1998-03,AUD,0.026171200270212747,-9.490642808462728e-06,0.0005395015877658574,olie
1998-04,AUD,0.03291606950918308,0.0009401499186832158,0.0007366685007077566,olie
1998-05,AUD,0.0430539272026394,0.0014231362202248984,0.0009823127832152018,olie
1998-06,AUD,-0.02194397517787411,-0.0003167524566119709,0.0013010371348775064,olie
1998-07,AUD,0.04843400998328379,0.0010207012999538,0.001126262606210201,olie
1998-08,AUD,-0.0001766524367908806,0.0013304200718872276,0.0014793054970838845,olie
1998-09,AUD,-0.048071972098719606,0.003054291884184383,0.0014670391420181454,olie
1998-10,AUD,-0.027119244545846022,0.0007753276764172524,0.0011027817064244855,olie
1998-11,AUD,0.02662480695851721,-0.0002627539342378169,0.000896781514802073,olie
1998-12,AUD,-0.022064084541269402,0.0005782010599060934,0.0010832164817855161,olie
1999-01,AUD,-0.012464390305682027,0.0018372468758708284,0.0009166891362959123,olie
1999-02,AUD,0.014358569429926527,0.0004259061901588588,0.0008211099974246413,olie
1999-03,AUD,-0.017627488791192025,0.0017605539737199339,0.0009171203480097611,olie
1999-04,AUD,-0.03183154217879702,0.0008437886290317695,0.0007865245090012977,olie
1999-05,AUD,0.009826954596116044,0.0005740932378503762,0.0005584261405551557,olie
1999-06,AUD,0.00013125082050602366,0.0003662238838779251,0.000622790921496551,olie
1999-07,AUD,0.017820450774470364,-0.0005205017676677068,0.0006194009897655818,olie
1999-08,AUD,-0.007570646660694347,0.0005655242279837056,0.0007372163992498611,olie
1999-09,AUD,-0.002145714272976773,0.00031301503147867024,0.0006807003240121455,olie
1999-10,AUD,0.018764454234123373,0.0007547780122919709,0.0006616029280865446,olie
1999-11,AUD,-0.0033914606175339257,0.00033672636700504054,0.000783098574435785,olie
1999-12,AUD,-0.02314903175349864,0.0006057302059849507,0.0007552681798226536,olie
2000-01,AUD,0.04395536430088748,0.0005996428759593993,0.0005969615577476782,olie
2000-02,AUD,0.029749557789498338,0.0004513860857354388,0.000882214207373598,olie
2000-03,AUD,0.022237199405561014,0.0011101645946677383,0.0010708896556227794,olie
2000-04,AUD,0.02994235661507849,0.001828682624018412,0.001208333225427573,olie
2000-05,AUD,-0.028096513702114856,-0.00016278238333200415,0.001393714021489837,olie
2000-06,AUD,0.013354804640442808,0.0003388289344889607,0.0012046741001846787,olie
2000-07,AUD,0.010626596174795888,0.0017689389698415175,0.001282063466683138,olie
2000-08,AUD,0.0506745642750166,0.0007500753813569697,0.0013412060787598012,olie
2000-09,AUD,0.044593375542818725,0.0007483893668580804,0.0016514787718180197,olie
2000-10,AUD,0.011810230967277513,0.0024060514672512487,0.0019198656266367741,olie
2000-11,AUD,-0.04640572054970571,0.0016369273467361938,0.001981296467261872,olie
2000-12,AUD,-0.015589596031844843,0.003902419010441669,0.001682611177033677,olie
2001-01,AUD,0.03930185234761363,0.0015961163069293548,0.0015766467156295143,olie
2001-02,AUD,0.059223229621523155,0.0014208366069155755,0.001806678457287954,olie
2001-03,AUD,0.0029638581965806265,0.0024475073304503396,0.002154657555253016,olie
2001-04,AUD,-0.03584759631475254,0.002046650797782465,0.0021595322579116157,olie
2001-05,AUD,0.0036845834259097154,0.0015619926663088162,0.001931944661668118,olie
2001-06,AUD,0.01771320859907055,0.0020119353463927702,0.0019423770352647942,olie
